,ID,Name,Age,Photo,Nationality
5098,173147,D. Dessena,31,https://cdn.sofifa.org/players/4/19/173147.png,Italy
5099,176475,R. Ovelar,32,https://cdn.sofifa.org/players/4/19/176475.png,Paraguay
5100,179547,V. Mannone,30,https://cdn.sofifa.org/players/4/19/179547.png,Italy
5101,105308,J. Gillet,39,https://cdn.sofifa.org/players/4/19/105308.png,Belgium
5102,220509,L. Venuti,23,https://cdn.sofifa.org/players/4/19/220509.png,Italy
5103,229469,J. Meneses,25,https://cdn.sofifa.org/players/4/19/229469.png,Chile
5104,200542,G. Maniatis,31,https://cdn.sofifa.org/players/4/19/200542.png,Greece
5105,212830,A. Mabil,22,https://cdn.sofifa.org/players/4/19/212830.png,Australia
5106,236382,M. Olivera,26,https://cdn.sofifa.org/players/4/19/236382.png,Uruguay
5107,198751,J. Madueña,28,https://cdn.sofifa.org/players/4/19/198751.png,Mexico
5108,221791,R. Kurzawa,25,https://cdn.sofifa.org/players/4/19/221791.png,Poland
5109,223071,F. Pellegrino,32,https://cdn.sofifa.org/players/4/19/223071.png,Argentina
5110,235103,N. Ampomah,22,https://cdn.sofifa.org/players/4/19/235103.png,Ghana
5111,218208,C. Fuentes,25,https://cdn.sofifa.org/players/4/19/218208.png,Chile
5112,225632,O. Burke,21,https://cdn.sofifa.org/players/4/19/225632.png,Scotland
5113,188000,Sandro Manoel,29,https://cdn.sofifa.org/players/4/19/188000.png,Brazil
5114,226401,K. Dowell,20,https://cdn.sofifa.org/players/4/19/226401.png,England
5115,233825,N. Leguizamón,23,https://cdn.sofifa.org/players/4/19/233825.png,Argentina
5116,205410,G. Espinoza,28,https://cdn.sofifa.org/players/4/19/205410.png,Chile
5117,235874,A. Balić,20,https://cdn.sofifa.org/players/4/19/235874.png,Croatia
5118,210787,M. Dos Santos,28,https://cdn.sofifa.org/players/4/19/210787.png,Argentina
5119,230243,Breno Bemposta,34,https://cdn.sofifa.org/players/4/19/230243.png,Brazil
5120,179811,B. Capon,30,https://cdn.sofifa.org/players/4/19/179811.png,Belgium
5121,240740,C. Hudson-Odoi,17,https://cdn.sofifa.org/players/4/19/240740.png,England
5122,205157,Ruiz de Galarreta,24,https://cdn.sofifa.org/players/4/19/205157.png,Spain
5123,232293,V. Osimhen,19,https://cdn.sofifa.org/players/4/19/232293.png,Nigeria
5124,241509,Mauro Júnior,19,https://cdn.sofifa.org/players/4/19/241509.png,Brazil
5125,214118,M. Casierra,32,https://cdn.sofifa.org/players/4/19/214118.png,Colombia
5126,225894,L. Cáceda,30,https://cdn.sofifa.org/players/4/19/225894.png,Paraguay
5127,226662,B. Nieuwkoop,22,https://cdn.sofifa.org/players/4/19/226662.png,Netherlands
5128,227174,M. Cash,20,https://cdn.sofifa.org/players/4/19/227174.png,England
5129,170342,P. Huntington,30,https://cdn.sofifa.org/players/4/19/170342.png,England
5130,244582,A. Paločević,24,https://cdn.sofifa.org/players/4/19/244582.png,Serbia
5131,240743,L. Sequeira,23,https://cdn.sofifa.org/players/4/19/240743.png,Argentina
5132,184935,A. Bouka Moutou,29,https://cdn.sofifa.org/players/4/19/184935.png,Congo
5133,197480,I. Saadi,26,https://cdn.sofifa.org/players/4/19/197480.png,Algeria
5134,139368,J. Shackell,34,https://cdn.sofifa.org/players/4/19/139368.png,England
5135,165736,D. Wheater,31,https://cdn.sofifa.org/players/4/19/165736.png,England
5136,172904,L. Tomlin,29,https://cdn.sofifa.org/players/4/19/172904.png,England
